filename,count,deployment_id,timestamp,sun_cell_count,wind_gust_mean,wind_gust_mode,wind_gust_var,wind_observations,wind_speed_mean,wind_speed_mode,wind_speed_var
SC4_20231204012001.JPG,420,SC4,20231204012001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204013001.JPG,420,SC4,20231204013001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204014001.JPG,420,SC4,20231204014001,0,0.0,0.0,0.0,9,0.0,0.0,0.0
SC4_20231204015001.JPG,420,SC4,20231204015001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204020001.JPG,420,SC4,20231204020001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204021001.JPG,420,SC4,20231204021001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204022001.JPG,420,SC4,20231204022001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204023001.JPG,420,SC4,20231204023001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204024001.JPG,420,SC4,20231204024001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204025001.JPG,420,SC4,20231204025001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204030001.JPG,420,SC4,20231204030001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204031001.JPG,420,SC4,20231204031001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204032001.JPG,420,SC4,20231204032001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204033000.JPG,420,SC4,20231204033000,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204034001.JPG,420,SC4,20231204034001,0,0.0,0.0,0.0,11,0.0,0.0,0.0
SC4_20231204035001.JPG,420,SC4,20231204035001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204040001.JPG,420,SC4,20231204040001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204041001.JPG,420,SC4,20231204041001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204042001.JPG,420,SC4,20231204042001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204043001.JPG,420,SC4,20231204043001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204044001.JPG,420,SC4,20231204044001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204045001.JPG,420,SC4,20231204045001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204050001.JPG,420,SC4,20231204050001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204051001.JPG,420,SC4,20231204051001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204052001.JPG,420,SC4,20231204052001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204053001.JPG,420,SC4,20231204053001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204054001.JPG,420,SC4,20231204054001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204055001.JPG,420,SC4,20231204055001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
